Chr	Start	End	Region	GenomeVersion
chr6	28477797	33448354	MHC	GRCh37
chr6	28510120	33480577	MHC	GRCh38
chrX	60001	2699520	PAR1	GRCh37
chrX	154931044	155260560	PAR2	GRCh37
chrX	10001	2781479	PAR1	GRCh38
chrX	155701383	156030895	PAR2	GRCh38
chrX	88395845	92583067	XTR	GRCh37
chrX	89140845	93328068	XTR	GRCh38
chr1	0	2300000	telomere	GRCh38
chr1	121700000	125100000	centromere	GRCh38
chr1	243500000	248956422	telomere	GRCh38
chr10	0	3000000	telomere	GRCh38
chr10	38000000	41600000	centromere	GRCh38
chr10	128800000	133797422	telomere	GRCh38
chr11	0	2800000	telomere	GRCh38
chr11	51000000	55800000	centromere	GRCh38
chr11	130900000	135086622	telomere	GRCh38
chr12	0	3200000	telomere	GRCh38
chr12	33200000	37800000	centromere	GRCh38
chr12	128700000	133275309	telomere	GRCh38
chr13	16500000	18900000	centromere	GRCh38
chr13	109600000	114364328	telomere	GRCh38
chr14	16100000	18200000	centromere	GRCh38
chr14	103500000	107043718	telomere	GRCh38
chr15	17500000	20500000	centromere	GRCh38
chr15	98000000	101991189	telomere	GRCh38
chr16	0	7800000	telomere	GRCh38
chr16	35300000	38400000	centromere	GRCh38
chr16	88700000	90338345	telomere	GRCh38
chr17	0	3400000	telomere	GRCh38
chr17	22700000	27400000	centromere	GRCh38
chr17	77200000	83257441	telomere	GRCh38
chr18	0	2900000	telomere	GRCh38
chr18	15400000	21500000	centromere	GRCh38
chr18	75400000	80373285	telomere	GRCh38
chr19	0	6900000	telomere	GRCh38
chr19	24200000	28100000	centromere	GRCh38
chr19	55800000	58617616	telomere	GRCh38
chr2	0	4400000	telomere	GRCh38
chr2	91800000	96000000	centromere	GRCh38
chr2	236400000	242193529	telomere	GRCh38
chr20	0	5100000	telomere	GRCh38
chr20	25700000	30400000	centromere	GRCh38
chr20	59700000	64444167	telomere	GRCh38
chr21	10900000	13000000	centromere	GRCh38
chr21	41200000	46709983	telomere	GRCh38
chr22	13700000	17400000	centromere	GRCh38
chr22	49100000	50818468	telomere	GRCh38
chr3	0	2800000	telomere	GRCh38
chr3	87800000	94000000	centromere	GRCh38
chr3	192600000	198295559	telomere	GRCh38
chr4	0	4500000	telomere	GRCh38
chr4	48200000	51800000	centromere	GRCh38
chr4	186200000	190214555	telomere	GRCh38
chr5	0	4400000	telomere	GRCh38
chr5	46100000	51400000	centromere	GRCh38
chr5	177100000	181538259	telomere	GRCh38
